word,frequency
demi,481
love,333
i'm,196
wish,195
just,161
come,141
hope,133
quot,130
wait,128
you're,126
hey,119
can't,113
good,110
awesome,108
haha,102
really,98
know,86
want,82
don't,74
new,74
amazing,73
fun,66
omg,61
great,59
reply,59
album,59
say,57
think,56
feel,53
concert,51
better,49
day,48
tell,48
sorry,47
i'll,46
vote,46
wow,45
look,44
song,43
sad,42
right,42
cool,41
rock,41
tour,40
follow,40
wanna,38
best,38
voice,38
gonna,37
sonny,36
people,35
miss,34
girl,34
movie,34
did,33
listening,33
night,33
chance,32
happy,32
excited,32
fan,32
aww,32
live,32
talk,31
luck,31
video,31
saw,30
beautiful,30
coming,29
days,29
make,28
nice,28
pretty,28
need,28
voted,28
yay,27
funny,26
music,26
wanted,26
meet,26
youtube,26
totally,26
cute,26
awww,25
guys,25
vacation,25
watching,24
time,24
soo,24
yeah,24
i've,24
yes,24
hear,23
today,23
yesterday,23
famous,23
having,22
forget,22
bad,21
lucky,21
