word,frequency
miley,660
love,496
good,223
i'm,219
quot,193
hope,191
just,178
hey,177
vote,173
come,163
movie,139
you're,136
luck,122
really,119
best,119
voted,116
don't,111
wish,110
win,102
know,101
amazing,99
awards,97
mtv,96
can't,93
haha,88
song,88
hannah,82
life,80
think,78
feel,76
look,74
montana,74
congrats,74
day,73
great,72
happy,70
awesome,69
omg,68
sad,66
beautiful,65
aww,63
wait,63
cute,62
follow,60
tour,60
fun,59
nice,58
want,56
sorry,55
miss,55
pretty,55
girl,54
cool,53
say,53
make,52
did,51
new,49
time,47
today,47
gonna,47
award,47
fans,46
brazil,46
voting,46
congratulations,46
season,45
little,45
wanna,44
wow,43
right,43
climb,42
awww,40
coming,40
better,40
watching,38
fan,37
concert,36
people,36
tonight,36
tickets,35
feeling,34
sure,34
bad,34
nick,34
need,33
you'll,33
saw,33
deserve,33
reply,32
let,32
guys,32
won,32
pic,32
picture,30
music,29
tell,29
worry,29
i'll,28
cyrus,27
saved,27
