word,frequency
tom,624
say,214
i'm,188
love,184
good,178
hey,157
just,142
guys,136
come,135
haha,122
brazil,120
don't,118
think,109
quot,109
you're,108
reply,104
fans,102
miss,101
really,93
happy,93
hope,88
know,86
mcfly,79
twitter,78
birthday,74
want,70
wish,68
did,64
can't,60
vote,60
amazing,59
today,58
day,57
new,56
plz,55
tweet,54
night,54
awesome,54
sad,51
aww,48
roni,48
need,47
great,47
answer,47
wait,47
time,46
make,46
tour,44
look,43
fun,42
sorry,41
nice,41
best,41
morning,38
coming,38
right,38
yes,37
better,37
hate,36
omg,35
bad,35
gonna,34
sure,34
tweets,34
rio,33
saw,31
i've,31
hello,31
star,30
talk,30
song,30
cute,30
you'll,29
luck,29
hahaha,28
tell,28
fletcher,28
poor,27
watch,27
believe,27
soon,27
wow,27
glad,27
tonight,27
dougie,27
harry,27
thank,27
play,26
didn't,26
feel,26
wanna,26
yeah,26
norway,26
enjoy,24
mcflyforgermany,24
wars,24
england,23
you've,22
thing,22
watching,22
